"V1" "V2" "V3" "v4" "V5" "V6"
17.48 5.91 19 4064 510 1907
16.62 8.59 13 6005 754 2864
16.01 7.99 6 11250 1352 5520
17.93 10.01 21 3749 612 1923
16.71 8.34 10 8700 894 3482
14.96 10.1 10 7062 887 3374
16.83 5.67 10 7098 908 3514
17.42 6.19 21 3714 570 1867
20.45 7.93 14 5734 724 3049
15.41 10.44 11 6600 964 3153
19.52 7.54 9 8580 1100 4539
16.81 6.65 11 6834 1005 3440
14.73 5.05 13 5405 659 2372
17.29 8.31 16 4402 768 2434
18.8 7.35 14 5061 737 2806
14.93 7.57 13 6323 724 2517
16.72 5.44 10 8232 943 3491
19.01 8.83 19 4017 633 2196
20.99 7.35 11 7025 1023 4060
17.24 8.02 9 8767 1086 4203
17.04 5.61 7 11160 1210 5202
15.06 8.72 9 8367 997 3545
16.48 7.56 9 8047 1044 3842
19.12 8.93 10 8346 1179 4019
16.7 9.19 21 3389 426 1656
19.43 4.54 12 6600 925 3361
15.42 8.03 8 8475 1111 4034
18.36 6.65 13 6494 855 2960
18.21 8.86 14 5498 813 2704
17.33 6.04 8 8782 1213 4492
12.77 8.66 10 7410 762 2651
19.12 5.8 23 2870 732 1777
16.1 5.23 31 2239 446 1100
16.51 4.17 13 5880 916 2950
16.29 5.69 27 2969 496 1276
14.53 4.05 15 4988 756 2253
19.05 5.95 27 2720 565 1492
16.41 4.76 21 3183 680 1807
16.89 5.52 16 3795 760 2250
17.27 5.13 27 2569 564 1480
18.54 5.35 26 2970 505 1521
16.49 4.74 18 4027 728 2100
16.55 4.86 27 2998 535 1308
14.87 5.46 22 3305 556 1548
16.94 3.87 22 2735 767 1641
16.91 3.6 15 4696 902 2580
16.72 5.14 20 3699 600 1794
17.57 6.28 22 3878 696 1983
17.97 7.38 27 2938 526 1429
17.99 3.71 19 8214 680 1994
9.42 5.61 16 4005 373 1266
16.44 6.05 16 4481 818 2333
19.61 5.66 25 3454 593 1684
17.48 5.41 17 4087 794 2333
17.12 5.69 21 3400 677 1749
17.95 5.18 22 3164 651 1846
15.72 5.38 26 2938 513 1298
19.03 5.48 24 3307 729 1795
17.17 5.4 31 2106 498 1178
15.59 4.13 17 3738 765 2075
16.12 5.1 23 3110 581 1491
14.84 5.9 20 3729 643 1680
20.29 5.2 28 2816 602 1555
19.51 5.82 38 2007 477 1144
15.66 5.62 23 2919 602 1466
16.54 4.91 23 3081 595 1595
17.21 3.82 18 3873 925 2076
19.08 5.95 18 4113 779 2352
20.14 5.68 18 3810 922 2435
12.38 5.17 13 5986 821 2347
18.88 6.07 18 8693 741 1977
18.55 4.81 25 2854 580 1570
17.52 4.42 21 3169 644 1757
18.42 4.17 26 2991 554 1492
14.09 4.44 31 2479 416 970
18.05 4.69 35 4262 464 1083
17.79 5.43 32 2212 479 1186
18.22 5.08 28 2756 549 1390
15.72 6.04 25 2774 544 1342
14.92 9.28 20 3432 581 1549
14.67 9.57 18 4303 600 1705
14.56 12.8 21 3534 478 1451
17.24 10.56 21 3489 572 1717
20.27 7.63 25 3079 484 1674
14.53 13.65 18 3920 547 1667
22.08 9.34 21 4169 605 2170
18.99 8.48 16 3814 699 2447
14.77 10.3 21 3526 446 1456
19.24 15.19 26 3185 452 1532
17.41 9.89 27 2800 441 1335
18.42 11.82 25 3295 498 1564
18.36 13.6 26 6168 510 1555
19.51 11.94 22 6976 521 1721
16.14 11.15 23 2906 497 1469
16.15 12.32 22 4104 519 1649
18.8 7.55 27 5662 431 1362
18.17 9.93 25 2952 512 1517
17.77 13.28 23 3475 639 1780
21.68 10.47 32 4931 429 1352
14.43 13.11 26 2961 402 1250
20.26 6.74 25 2981 557 1698
18.91 7.96 21 3151 651 1931
16.38 9.91 22 3371 524 1545
16.14 11.99 25 3115 457 1340
17.4 10.24 28 2745 423 1289
19.6 5.12 25 3034 538 1756
20.8 4.69 20 3855 731 2319
21.24 3.62 22 3303 661 2185
17.15 5.46 15 4332 752 2596
21.72 5.65 15 4972 885 3258
17.61 3.6 19 3733 570 2084
20.11 5.81 16 4372 765 2822
17.83 4.25 15 9936 640 2446
21.68 4.64 23 3357 547 2125
18.38 4 18 4693 647 2302
17.97 4.49 14 4208 857 2888
23.14 4.03 30 2538 535 1736
18.21 4.77 19 4020 631 2158
22.53 4.63 20 4032 694 2477
16.81 4.11 19 7740 549 1943
19.54 3.22 19 4225 631 2259
23.9 3.51 26 2875 551 1954
18.03 3.4 17 3829 668 2229
19 3.37 22 3706 541 1814
20.92 3.65 26 2774 567 1671
22.18 2.41 22 3513 641 2091
18 3.6 21 3237 507 1796
21.04 3.26 25 2926 553 1763
19.43 3.7 21 3574 579 1923
20.28 3.27 22 3224 566 1911
17.36 9.24 26 2928 417 1409
19.49 10.21 18 3727 626 2315
20.06 9.18 41 1946 363 1142
20.55 9.16 27 3133 491 1624
21.63 10.36 38 3846 404 1277
22 9.07 34 2404 442 1386
19.53 8.15 31 2263 443 1479
19.62 10.26 31 4761 388 1347
21.69 9.93 34 2458 474 1503
20.26 8.9 31 2586 418 1395
20.92 7.95 42 1206 395 1164
24.05 9.01 34 1985 470 1509
19.69 9.12 43 2094 353 1068
16.59 9.82 23 3185 472 1539
17.03 8.66 25 2114 475 1588
21.18 9.62 25 3235 530 1802
21.06 7.08 30 3066 540 1682
19.68 7.83 24 3190 526 1745
19.18 8.21 17 3491 750 2625
16.05 9.79 13 5437 754 2624
22.48 7.42 30 2828 520 1807
21.35 7.28 26 2709 536 1769
21.83 6.86 26 5631 502 1868
17.43 7.48 23 3042 489 1634
23.59 7.48 35 2373 447 1555
17.54 9.85 15 5516 711 2518
19.96 5.59 28 1899 462 1647
17.95 9.13 17 4394 606 2258
20.76 8.76 38 2070 388 1264
19.25 6.53 18 3897 642 2291
20.82 7.19 44 1893 363 1094
22.03 7.45 21 3577 633 2257
20.73 7.47 32 1766 461 1446
19.78 9.57 26 2693 525 1639
21.29 6.32 37 2016 402 1280
16.56 6.67 24 3220 440 1502
19.59 8.71 24 3510 524 2009
23.77 6.82 26 2739 593 1993
22.6 7.35 27 2356 563 1775
18.59 9.03 19 4244 615 2135
18.25 7.74 34 2056 386 1131
21.39 6.51 30 2514 499 1503
20.21 8.58 32 2212 425 1334
20.55 6.74 30 2706 450 1446
21.06 9.67 27 2818 550 1671
20.19 6.29 31 4767 424 1355
20.02 8.33 48 1700 280 880
19.68 6.6 21 2951 579 1979
17.27 9.42 21 3597 536 1734
12.38 3.98 31 2146 276 830
12.76 3.42 45 1709 215 593
17.52 4.01 44 1729 306 894
13.55 2.79 43 2083 243 690
15.91 3.85 35 1833 350 1015
15.65 4.63 29 5607 334 1085
16.16 3.84 38 2062 333 962
15.49 3.11 34 2238 282 943
14.06 3.92 34 2255 322 939
11.24 4.02 24 2935 289 966
13 3.96 28 2769 341 1045
15.01 3.76 36 2400 282 861
17.21 3.75 50 1568 275 799
11.85 4.54 26 2328 319 943
13.9 4.23 26 6028 354 1150
12.15 1.89 25 3552 310 1006
16.5 3.69 37 2116 339 1000
15.71 3.7 36 2173 298 904
17.15 4.19 32 2316 386 1200
11.75 3.43 28 2631 285 871
16.31 3.83 40 1788 306 919
14.59 4.64 42 1807 269 755
15.44 3.95 44 1688 261 791
15.03 4.29 41 1952 269 766
15.94 4.07 48 1502 261 748
13.58 3.77 39 1888 273 727
18.7 3.9 51 1547 278 825
13.06 4.1 37 1970 244 738
16.04 3.8 39 1835 305 926
